month,mean_daily_kWh,n_users
2014-11-01,4.814973159449413,7
2014-12-01,7.4405471729186035,18
2015-01-01,5.470684738304461,19
2015-02-01,6.8049948600348085,24
2015-03-01,6.73253856727558,28
2015-04-01,4.954265235325437,32
2015-05-01,4.6839280005496695,36
2015-06-01,4.695313532803862,37
2015-07-01,4.729134331132601,41
2015-08-01,5.785602272552646,44
2015-09-01,5.635940469176548,44
2015-10-01,5.792833467514167,43
2015-11-01,6.067364251501796,46
2015-12-01,6.35179030071414,51
2016-01-01,6.313876344384929,52
2016-02-01,6.709806871225088,55
2016-03-01,6.984373284895427,49
2016-04-01,6.04119696248843,50
2016-05-01,5.838873947396117,49
2016-06-01,5.506870935719195,51
2016-07-01,5.310638479285996,54
2016-08-01,5.672030040070103,55
2016-09-01,5.519524034039874,53
2016-10-01,5.639316913229382,54
2016-11-01,6.32103564326682,53
2016-12-01,6.21851825904746,55
2017-01-01,6.545582366043979,60
2017-02-01,6.172335127361275,61
2017-03-01,5.759724016683505,67
2017-04-01,5.089181100733103,73
2017-05-01,5.83323462099713,5686
2017-06-01,6.008546911771656,6253
2017-07-01,5.700857197492537,6576
2017-08-01,5.519771373302223,6851
2017-09-01,6.227969986620306,7116
2017-10-01,6.42016924227507,7412
2017-11-01,7.911590318927028,7745
2017-12-01,9.637313994446105,8219
2018-01-01,10.381174525766657,8588
2018-02-01,11.319753750483306,8886
2018-03-01,9.860803818086065,9229
2018-04-01,9.390250899719744,9510
2018-05-01,9.388435916292286,9793
2018-06-01,8.95239267692954,9999
2018-07-01,9.151599848055803,10262
2018-08-01,8.508813094992513,10433
2018-09-01,9.644979387473656,10695
2018-10-01,10.044200159551576,10981
2018-11-01,11.143314619419836,11234
2018-12-01,11.106791956669337,11424
2019-01-01,12.753198434673338,11611
2019-02-01,11.256227665261001,11886
2019-03-01,10.15327286817201,12224
2019-04-01,9.61826195521507,12441
2019-05-01,9.59844043493085,12612
2019-06-01,9.12533257678396,12848
2019-07-01,9.01234531242908,13271
2019-08-01,8.263976353297481,13410
2019-09-01,9.357583338138951,13542
2019-10-01,9.65668989912949,13759
2019-11-01,11.345493755448862,13993
2019-12-01,10.926972728881168,14169
2020-01-01,11.773918662123299,14388
2020-02-01,12.7297313331429,15188
2020-03-01,12.774353127699593,15360
2020-04-01,10.658714813180366,15402
2020-05-01,10.30734681034733,15772
2020-06-01,10.862334537226202,16241
2020-07-01,11.259216148845814,16523
2020-08-01,10.649626641249972,16691
2020-09-01,12.274988143251857,17057
2020-10-01,13.127755994842554,17299
2020-11-01,13.677525689027545,17416
2020-12-01,14.827839876112884,17742
2021-01-01,15.976910227262884,18096
2021-02-01,14.427115524489167,18374
2021-03-01,14.065874837573167,18716
2021-04-01,12.689020799324036,18954
2021-05-01,12.252083352064373,19287
2021-06-01,11.590095708305654,19795
2021-07-01,11.53940575114934,20292
2021-08-01,11.017435738755351,20482
2021-09-01,12.19452497333365,20840
2021-10-01,12.217790510722832,21152
2021-11-01,14.605988349190945,21404
2021-12-01,14.504306604139032,20681
2022-01-01,14.76987815808405,20872
2022-02-01,14.447567959779583,21070
2022-03-01,13.24313303955106,21248
2022-04-01,12.12946769429806,21501
2022-05-01,11.946650428934447,21612
2022-06-01,12.131611616381681,21724
2022-07-01,11.565115796528511,21772
2022-08-01,10.76069125334472,21763
2022-09-01,11.678672776085698,21791
2022-10-01,11.501332979058,21760
2022-11-01,12.59592570539913,21652
2022-12-01,12.782383317951659,21589
2023-01-01,14.004526256809642,21480
2023-02-01,13.946624646355895,21424
2023-03-01,12.365284561746938,21495
2023-04-01,10.478826150069002,21519
2023-05-01,10.835705576381427,21573
2023-06-01,10.635414072538627,21572
2023-07-01,10.006269407218534,21578
2023-08-01,9.593333508266312,21606
2023-09-01,10.819823541332255,21704
2023-10-01,10.966779629200603,21720
2023-11-01,12.125886106863263,21778
2023-12-01,12.531344152484222,21816
2024-01-01,13.497194389381873,21687
