"date","actual","point","q05_xgb","q95_xgb","conformal_lo","conformal_hi"
2023-07-01,89847.5750334101,90455.8457868252,88116.7117376167,97581.2610190502,84881.9401243011,96029.7514493494
2023-07-02,91649.7140461882,89653.5246897003,87807.5003166608,97581.2610190502,84079.6190271762,95227.4303522244
2023-07-03,94906.245540448,94851.9434734912,90193.2876760696,97794.6984461291,89278.0378109671,100425.849136015
2023-07-04,96219.4445477838,95819.8733216266,92466.2136041989,101728.265622205,90245.9676591025,101393.778984151
2023-07-05,96057.6670319608,95285.9597660589,92618.985491442,102339.748304201,89712.0541035348,100859.865428583
2023-07-06,95369.4565467451,95022.7929421615,92725.8372045343,102116.391384107,89448.8872796374,100596.698604686
2023-07-07,93667.4930306209,93565.735215219,91466.3654540146,101496.6600247,87991.8295526949,99139.6408777431
2023-07-08,89344.5450401121,92579.5989999346,91064.9437806978,98602.3345704601,87005.6933374105,98153.5046624587
2023-07-09,92548.7590317344,89565.8433442699,88547.9417118478,97581.2610190502,83991.9376817458,95139.749006794
2023-07-10,95494.3890442635,93727.9212785936,90538.8721151071,97581.2610190502,88154.0156160695,99301.8269411177
2023-07-11,98925.8830357888,95759.671565185,92989.9143729791,101506.24325253,90185.7659026609,101333.577227709
2023-07-12,95866.9435457113,97576.7941598779,94081.6652559228,103701.658220896,92002.8884973538,103150.699822402
2023-07-13,95265.7460470533,94208.7107307332,92185.8628581835,102116.391384107,88634.8050682091,99782.6163932573
2023-07-14,93715.9925368223,93987.6812458334,91615.9126965236,102252.23876974,88413.7755833093,99561.5869083575
2023-07-15,92020.285051143,93136.2677651467,91740.7659034316,99412.2792193676,87562.3621026226,98710.1734276708
2023-07-16,90355.0630492151,91416.657821616,89243.886536948,97581.2610190502,85842.7521590919,96990.5634841401
2023-07-17,95277.4245456959,93200.2420129689,90242.4161733612,97581.2610190502,87626.3363504448,98774.147675493
2023-07-18,97207.5065306453,95968.5755651456,92639.5685054075,102116.391384107,90394.6699026214,101542.48122767
2023-07-19,97508.1525340393,94990.3558929528,93030.806245778,102116.391384107,89416.4502304287,100564.261555477
2023-07-20,95817.1660535219,95335.6801147271,93011.0233336,102289.204122758,89761.774452203,100909.585777251
2023-07-21,93504.8180468096,93357.1646946915,91570.3154993994,102106.750552619,87783.2590321673,98931.0703572156
2023-07-22,88141.5705434935,91952.302021435,91270.3082021005,99369.3405204361,86378.3963589109,97526.2076839591
2023-07-23,88787.6595476174,88250.1772057014,86272.2947940133,97581.2610190502,82676.2715431773,93824.0828682255
2023-07-24,93033.8580622112,90870.2669308453,88095.8733735383,97581.2610190502,85296.3612683212,96444.1725933694
2023-07-25,89576.7715611323,90476.6383714782,90462.229723508,97794.6984461291,84902.7327089541,96050.5440340023
2023-07-26,91179.7040591546,91039.674736943,88532.9114480488,97581.2610190502,85465.7690744189,96613.5803994671
2023-07-27,93096.6105346448,91230.2771562256,89203.808466816,97581.2610190502,85656.3714937015,96804.1828187497
2023-07-28,90685.6755347287,91004.865308886,88775.3953704984,97581.2610190502,85430.9596463619,96578.7709714101
2023-07-29,88408.5050438789,89247.4612518977,88293.0265112965,97581.2610190502,83673.5555893736,94821.3669144218
2023-07-30,87883.6390349322,88150.0801866171,87025.3492775086,97581.2610190502,82576.174524093,93723.9858491412
2023-07-31,87439.040548987,88020.5434926831,87489.277453511,97581.2610190502,82446.637830159,93594.4491552072
2023-08-01,91963.9570394213,88205.6662702904,85288.8951551938,97581.2610190502,82631.7606077663,93779.5719328145
2023-08-02,93219.4980375671,91234.5404972059,89575.3251995144,97581.2610190502,85660.6348346818,96808.44615973
2023-08-03,91705.2680327002,93161.2302660209,92143.4969667883,98602.3345704601,87587.3246034968,98735.135928545
2023-08-04,89214.8125431207,89999.100912038,88374.6576528505,97581.2610190502,84425.1952495139,95573.0065745621
2023-08-05,84414.0430603583,86639.4516599757,87447.1517968758,97581.2610190502,81065.5459974516,92213.3573224998
2023-08-06,84121.278557538,83908.0014412263,82413.3810744123,97581.2610190502,78334.0957787022,89481.9071037504
2023-08-07,85390.8610458213,85341.5375866825,81087.9363721232,97581.2610190502,79767.6319241584,90915.4432492066
2023-08-08,85289.039551644,86500.0073750206,82531.2814483544,97581.2610190502,80926.1017124965,92073.9130375447
2023-08-09,87922.7780501792,86374.2134095108,82444.1180278626,97581.2610190502,80800.3077469867,91948.119072035
2023-08-10,88719.6495418337,86851.8144222411,85268.1562874801,97581.2610190502,81277.908759717,92425.7200847652
2023-08-11,87544.0825339757,86051.3363855165,85072.1591324249,97581.2610190502,80477.4307229924,91625.2420480406
2023-08-12,86707.926544739,83538.6356828222,83003.6221000935,97581.2610190502,77964.7300202981,89112.5413453463
2023-08-13,86354.3460316206,84696.457159468,83112.6169006915,97581.2610190502,79122.5514969439,90270.3628219921
2023-08-14,87433.4400503041,87097.6677747525,83079.4914351247,97581.2610190502,81523.7621122284,92671.5734372766
2023-08-15,86326.6455482877,86005.637816039,83942.417897117,97581.2610190502,80431.7321535149,91579.5434785631
2023-08-16,89711.8540226911,87837.4008403746,82371.4997965588,97581.2610190502,82263.4951778505,93411.3065028987
2023-08-17,89156.5385527509,89176.4193806098,87103.8147100717,97581.2610190502,83602.5137180857,94750.3250431339
2023-08-18,89450.1805525685,89543.9791082393,85697.1323392086,97581.2610190502,83970.0734457152,95117.8847707634
2023-08-19,87966.5810528329,87966.6680128624,86934.7661376768,97581.2610190502,82392.7623503382,93540.5736753865
2023-08-20,89759.7700408526,87261.9565185553,85929.2269753198,97581.2610190502,81688.0508560312,92835.8621810794
2023-08-21,93167.1750471355,91117.7622212046,89288.1550018459,97581.2610190502,85543.8565586805,96691.6678837287
2023-08-22,94162.3000377311,94016.1893684669,92919.7925347954,98634.1236817462,88442.2837059428,99590.0950309911
2023-08-23,97060.770533803,94808.6235958446,92538.7289483372,98662.5356398224,89234.7179333205,100382.529258369
2023-08-24,98318.4580463044,94783.9428305295,92862.8298022804,101613.172088314,89210.0371680054,100357.848493054
2023-08-25,95480.7245364259,95843.5441584925,92698.1623686447,103219.563916786,90269.6384959683,101417.449821017
2023-08-26,91807.7870467452,92169.5118871462,91208.7894704268,101612.203024674,86595.6062246221,97743.4175496703
2023-08-27,92878.2860393303,91053.0464844452,89475.8584286417,97581.2610190502,85479.1408219211,96626.9521469693
2023-08-28,96187.7405516829,93902.0296272801,90974.0600892837,98008.6027155911,88328.123964756,99475.9352898042
2023-08-29,96122.1990516545,96619.9539186363,93890.2989291672,101665.709164876,91046.0482561121,102193.85958116
2023-08-30,95758.4595490899,97142.9969420262,93601.7026999561,102066.833565952,91569.0912795021,102716.90260455
2023-08-31,94239.0945299166,96113.7503539126,92471.1520180442,102232.639874437,90539.8446913885,101687.656016437
2023-09-01,94331.226541259,93881.7033174981,91535.3031806949,99401.3769097439,88307.797654974,99455.6089800222
