"Feature","Gain","Cover","Frequency"
"roll28_sd",0.288799643380577,0.0434599288714353,0.0398533748587493
"lag1",0.254256447635198,0.114831131640904,0.0795689441336163
"lag2",0.167306841867911,0.0413063482109765,0.0366562853126809
"roll7",0.163990062531896,0.0350017852413834,0.0246947606317008
"roll7_sd",0.0567109838373782,0.0598834389765648,0.0619849516302401
"roll28",0.039805049978059,0.0169078387493551,0.0143042196069785
"roll14",0.0153699575306985,0.0123037162235252,0.0113551801118981
"cos_doy",0.0059095591534024,0.0266589993141704,0.0308960119064024
"yoy_diff",0.00404865158227461,0.103651777969348,0.095471708513629
"lag7",0.00171152918464103,0.0350017852413834,0.0372626298817628
"sin_doy",0.000567487746897135,0.0355555969646633,0.0362704296778105
"cdd_lag1",0.000450778572723525,0.0191660388186171,0.0141388529063198
"lag14",0.000318958079199664,0.0324934460875263,0.0343687126202354
"cdd_mean",0.000147472518357417,0.0100354884826269,0.0156271532122482
"doy",0.000101322915057961,0.0238683851516555,0.0340104181021415
"lag365",9.5643368213414e-05,0.10603725840615,0.0706115811812695
"lag28",8.73198581992882e-05,0.0345171407649803,0.0373728743488686
"cos_doy2",8.67366690969337e-05,0.0199993620190014,0.0199542485461511
"is_summer",6.37943211109549e-05,0.000359022227794906,0.00168122812336356
"hdd_mean",4.61336090719207e-05,0.0332290981870128,0.04916903232919
"sin_doy2",2.36545085706787e-05,0.0353755726234774,0.0399911804426315
"sin_dow",2.07752558957856e-05,0.0137319882883112,0.0215527933191853
"tmed_mean",1.41641391837829e-05,0.0241104705157239,0.0311440619573905
"dow",1.23222404201247e-05,0.00991191914317257,0.0254113496678885
"is_monday",1.20017414161366e-05,0.00713133265229388,0.00788247939806521
"hdd_lag1",9.36775116715448e-06,0.0349450933655187,0.0420582642008654
"hdd_roll7",9.02786964067894e-06,0.0370100831001834,0.0353609128241876
"is_weekend",6.81284306851438e-06,0.00402188590657337,0.00835101838326489
"cdd_roll7",5.40885837500532e-06,0.0151681561575352,0.0160956921974478
"month",5.12236470823844e-06,0.000682039587352627,0.00540197888818455
"any_holiday",4.98999948217315e-06,0.00772754484540568,0.00487831766943197
"cos_dow",1.36806159978669e-06,0.00336858704737498,0.0111898134112394
"is_friday",4.50600529224263e-07,0.00238982312924311,0.00432709533390293
"is_winter",1.5942597845659e-07,0.00015791608875958,0.00110244467105807
