"model","n","MAE","RMSE","MAPE","sMAPE","WAPE","EUR_dev","MASE","target","cluster"
"xgb",208,2119.292,2924.492,1.893,1.886,1.954,41877.215,0.543,"portfolio_daily",NA
"ensemble_top3",208,2282.852,3180.262,2.041,2.037,2.104,45109.162,0.585,"portfolio_daily",NA
"lgbm",208,2480.612,3390.433,2.21,2.215,2.287,49016.887,0.636,"portfolio_daily",NA
"rf",208,2530.456,3513.914,2.251,2.242,2.333,50001.81,0.649,"portfolio_daily",NA
"stack",208,2597.976,3408.676,2.367,2.343,2.395,51336.011,0.666,"portfolio_daily",NA
"arimax",208,5821.367,7271.489,5.529,5.359,5.366,115030.22,1.492,"portfolio_daily",NA
"snaive365",208,8098.613,10437.942,7.547,7.233,7.465,160028.589,2.076,"portfolio_daily",NA
"snaive7",208,15847.023,21752.396,13.07,14.628,14.608,313137.173,4.063,"portfolio_daily",NA
"ets",208,16087.267,22014.58,13.257,14.863,14.83,317884.392,4.124,"portfolio_daily",NA
"naive",208,17422.147,23376.312,14.389,16.267,16.06,344261.618,4.466,"portfolio_daily",NA
"stack",4992,14.349,32.404,0.281,0.281,0.317,6805.069,0.092,"portfolio_hourly",NA
"xgb",4992,16.964,34.349,0.339,0.339,0.375,8044.843,0.109,"portfolio_hourly",NA
"lgbm",4992,17.212,35.198,0.343,0.343,0.381,8162.694,0.111,"portfolio_hourly",NA
"snaive168",4992,699.672,1047.107,13.162,14.824,15.478,331812.54,4.494,"portfolio_hourly",NA
"snaive24",4992,777.149,1194.931,14.347,16.46,17.192,368555.031,4.992,"portfolio_hourly",NA
"xgb_cluster_1",208,473.007,924.721,8.826,7.619,7.873,9346.611,0.562,"cluster_daily",1
"xgb_cluster_2",208,593.632,769.146,1.824,1.814,1.814,11730.162,0.983,"cluster_daily",2
"xgb_cluster_3",208,1036.348,1435.243,2.34,2.324,2.383,20478.243,0.614,"cluster_daily",3
"xgb_cluster_4",208,448.242,700.137,3.271,3.293,3.812,8857.265,0.248,"cluster_daily",4
"xgb_cluster_5",208,703.642,1399.153,17.222,13.855,22.16,13903.958,3.629,"cluster_daily",5
"xgb_cluster_6",208,202.8,305.944,1.691,1.674,1.79,4007.321,0.514,"cluster_daily",6
