"cod_provincia","provincia","indicativo","station_name","n_usuarios","variable","n_rows","n_missing_before","pct_missing_before","n_imputed","n_missing_after","longest_gap_days","method","status"
"01","Alava","9091O","Vitoria/Gasteiz aeropuerto",3116,"prec",4018,331,8.24,331,0,4,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_high_missingness"
"48","Bizkaia","1082","Bilbao aeropuerto",7510,"prec",4018,227,5.65,227,0,4,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_high_missingness"
"31","Navarra","9263D","Pamplona/Noain aeropuerto",4178,"sol",4018,167,4.16,167,0,144,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"31","Navarra","9263D","Pamplona/Noain aeropuerto",4178,"prec",4018,162,4.03,162,0,2,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"28","Madrid","3129","Madrid/Retiro",1366,"prec",4018,152,3.78,152,0,4,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"20","Gipuzkoa","1024E","San Sebastian/Igueldo",10684,"prec",4018,145,3.61,145,0,3,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"31","Navarra","9263D","Pamplona/Noain aeropuerto",4178,"hrMedia",4018,62,1.54,62,0,28,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"31","Navarra","9263D","Pamplona/Noain aeropuerto",4178,"tmed",4018,54,1.34,54,0,28,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"31","Navarra","9263D","Pamplona/Noain aeropuerto",4178,"tmax",4018,50,1.24,50,0,28,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"31","Navarra","9263D","Pamplona/Noain aeropuerto",4178,"tmin",4018,50,1.24,50,0,11,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_moderate_missingness"
"31","Navarra","9263D","Pamplona/Noain aeropuerto",4178,"velmedia",4018,32,0.8,32,0,2,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_low_missingness"
"28","Madrid","3129","Madrid/Retiro",1366,"sol",4018,20,0.5,20,0,3,"timetk::pad_by_time + timetk::ts_impute_vec(period=365)","imputed_low_missingness"
