"cluster","cluster_label","cnae_division","n_users","pct_cluster"
0,"no_habitual",-1,4,0.182
0,"no_habitual",1,13,0.591
0,"no_habitual",9,1,0.045
0,"no_habitual",10,5,0.227
0,"no_habitual",11,3,0.136
0,"no_habitual",14,3,0.136
0,"no_habitual",16,11,0.5
0,"no_habitual",18,1,0.045
0,"no_habitual",26,2,0.091
0,"no_habitual",28,3,0.136
0,"no_habitual",31,1,0.045
0,"no_habitual",32,4,0.182
0,"no_habitual",33,1,0.045
0,"no_habitual",35,18,0.819
0,"no_habitual",36,16,0.728
0,"no_habitual",41,23,1.046
0,"no_habitual",43,7,0.318
0,"no_habitual",45,6,0.273
0,"no_habitual",46,12,0.546
0,"no_habitual",47,87,3.958
0,"no_habitual",49,1,0.045
0,"no_habitual",52,235,10.692
0,"no_habitual",53,2,0.091
0,"no_habitual",55,2,0.091
0,"no_habitual",56,22,1.001
0,"no_habitual",58,1,0.045
0,"no_habitual",61,10,0.455
0,"no_habitual",62,3,0.136
0,"no_habitual",64,4,0.182
0,"no_habitual",65,2,0.091
0,"no_habitual",66,1,0.045
0,"no_habitual",68,15,0.682
0,"no_habitual",69,5,0.227
0,"no_habitual",70,1,0.045
0,"no_habitual",71,2,0.091
0,"no_habitual",73,2,0.091
0,"no_habitual",74,14,0.637
0,"no_habitual",79,6,0.273
0,"no_habitual",81,3,0.136
0,"no_habitual",82,5,0.227
0,"no_habitual",84,84,3.822
0,"no_habitual",85,11,0.5
0,"no_habitual",86,9,0.409
0,"no_habitual",90,4,0.182
0,"no_habitual",91,3,0.136
0,"no_habitual",93,21,0.955
0,"no_habitual",94,44,2.002
0,"no_habitual",95,1,0.045
0,"no_habitual",96,16,0.728
0,"no_habitual",98,1447,65.833
0,"no_habitual",99,1,0.045
1,"C1",-1,4,0.456
1,"C1",1,1,0.114
1,"C1",10,3,0.342
1,"C1",13,5,0.569
1,"C1",14,3,0.342
1,"C1",16,2,0.228
1,"C1",17,3,0.342
1,"C1",18,6,0.683
1,"C1",20,2,0.228
1,"C1",24,1,0.114
1,"C1",25,5,0.569
1,"C1",26,1,0.114
1,"C1",28,2,0.228
1,"C1",31,5,0.569
1,"C1",32,13,1.481
1,"C1",35,1,0.114
1,"C1",36,1,0.114
1,"C1",38,2,0.228
1,"C1",41,35,3.986
1,"C1",42,2,0.228
1,"C1",43,12,1.367
1,"C1",45,11,1.253
1,"C1",46,24,2.733
1,"C1",47,141,16.059
1,"C1",49,3,0.342
1,"C1",52,52,5.923
1,"C1",53,2,0.228
1,"C1",55,1,0.114
1,"C1",56,6,0.683
1,"C1",58,1,0.114
1,"C1",59,3,0.342
1,"C1",61,1,0.114
1,"C1",62,7,0.797
1,"C1",64,5,0.569
1,"C1",65,3,0.342
1,"C1",66,3,0.342
1,"C1",68,14,1.595
1,"C1",69,12,1.367
1,"C1",70,2,0.228
1,"C1",71,11,1.253
1,"C1",72,1,0.114
1,"C1",73,8,0.911
1,"C1",74,27,3.075
1,"C1",75,3,0.342
1,"C1",78,1,0.114
1,"C1",79,9,1.025
1,"C1",81,1,0.114
1,"C1",82,2,0.228
1,"C1",84,24,2.733
1,"C1",85,66,7.517
1,"C1",86,17,1.936
1,"C1",88,6,0.683
1,"C1",90,1,0.114
1,"C1",91,2,0.228
1,"C1",92,2,0.228
1,"C1",93,11,1.253
1,"C1",94,33,3.759
1,"C1",95,2,0.228
1,"C1",96,42,4.784
1,"C1",98,209,23.804
2,"C2",-1,5,0.072
2,"C2",1,16,0.231
2,"C2",3,1,0.014
2,"C2",10,9,0.13
2,"C2",11,1,0.014
2,"C2",14,2,0.029
2,"C2",16,5,0.072
2,"C2",20,1,0.014
2,"C2",23,1,0.014
2,"C2",24,1,0.014
2,"C2",25,1,0.014
2,"C2",26,2,0.029
2,"C2",32,3,0.043
2,"C2",35,2,0.029
2,"C2",36,22,0.318
2,"C2",37,2,0.029
2,"C2",41,16,0.231
2,"C2",42,1,0.014
2,"C2",43,7,0.101
2,"C2",45,9,0.13
2,"C2",46,12,0.173
2,"C2",47,69,0.996
2,"C2",49,1,0.014
2,"C2",52,114,1.646
2,"C2",53,1,0.014
2,"C2",55,11,0.159
2,"C2",56,85,1.227
2,"C2",58,2,0.029
2,"C2",59,2,0.029
2,"C2",60,1,0.014
2,"C2",61,7,0.101
2,"C2",62,1,0.014
2,"C2",64,3,0.043
2,"C2",66,4,0.058
2,"C2",68,10,0.144
2,"C2",70,2,0.029
2,"C2",73,1,0.014
2,"C2",74,16,0.231
2,"C2",78,4,0.058
2,"C2",79,3,0.043
2,"C2",81,1,0.014
2,"C2",82,3,0.043
2,"C2",84,50,0.722
2,"C2",85,10,0.144
2,"C2",86,5,0.072
2,"C2",87,1,0.014
2,"C2",88,5,0.072
2,"C2",90,5,0.072
2,"C2",91,3,0.043
2,"C2",93,34,0.491
2,"C2",94,33,0.476
2,"C2",96,7,0.101
2,"C2",97,1,0.014
2,"C2",98,6313,91.136
3,"C3",-1,4,0.039
3,"C3",1,8,0.079
3,"C3",5,1,0.01
3,"C3",10,1,0.01
3,"C3",11,1,0.01
3,"C3",14,1,0.01
3,"C3",16,4,0.039
3,"C3",18,4,0.039
3,"C3",20,2,0.02
3,"C3",22,2,0.02
3,"C3",25,2,0.02
3,"C3",27,1,0.01
3,"C3",28,2,0.02
3,"C3",29,1,0.01
3,"C3",31,1,0.01
3,"C3",32,6,0.059
3,"C3",35,1,0.01
3,"C3",36,1,0.01
3,"C3",41,13,0.128
3,"C3",43,9,0.089
3,"C3",45,1,0.01
3,"C3",46,10,0.098
3,"C3",47,45,0.443
3,"C3",49,1,0.01
3,"C3",52,93,0.916
3,"C3",53,1,0.01
3,"C3",55,8,0.079
3,"C3",56,16,0.158
3,"C3",58,1,0.01
3,"C3",59,2,0.02
3,"C3",61,1,0.01
3,"C3",62,1,0.01
3,"C3",64,4,0.039
3,"C3",66,2,0.02
3,"C3",68,7,0.069
3,"C3",69,7,0.069
3,"C3",71,4,0.039
3,"C3",73,1,0.01
3,"C3",74,10,0.098
3,"C3",77,1,0.01
3,"C3",78,1,0.01
3,"C3",79,9,0.089
3,"C3",81,1,0.01
3,"C3",82,1,0.01
3,"C3",84,28,0.276
3,"C3",85,21,0.207
3,"C3",86,11,0.108
3,"C3",87,1,0.01
3,"C3",88,4,0.039
3,"C3",90,4,0.039
3,"C3",91,3,0.03
3,"C3",92,1,0.01
3,"C3",93,10,0.098
3,"C3",94,30,0.295
3,"C3",96,10,0.098
3,"C3",97,1,0.01
3,"C3",98,9741,95.895
4,"C4",-1,1,0.057
4,"C4",0,1,0.057
4,"C4",1,3,0.171
4,"C4",10,2,0.114
4,"C4",11,1,0.057
4,"C4",13,1,0.057
4,"C4",14,1,0.057
4,"C4",17,1,0.057
4,"C4",18,2,0.114
4,"C4",22,1,0.057
4,"C4",25,2,0.114
4,"C4",32,2,0.114
4,"C4",36,2,0.114
4,"C4",41,6,0.342
4,"C4",43,3,0.171
4,"C4",46,4,0.228
4,"C4",47,10,0.57
4,"C4",52,23,1.311
4,"C4",53,1,0.057
4,"C4",55,2,0.114
4,"C4",56,2,0.114
4,"C4",62,1,0.057
4,"C4",64,1,0.057
4,"C4",69,2,0.114
4,"C4",70,1,0.057
4,"C4",72,1,0.057
4,"C4",73,1,0.057
4,"C4",74,10,0.57
4,"C4",78,1,0.057
4,"C4",79,4,0.228
4,"C4",81,1,0.057
4,"C4",82,3,0.171
4,"C4",84,21,1.197
4,"C4",85,10,0.57
4,"C4",86,7,0.399
4,"C4",88,6,0.342
4,"C4",90,1,0.057
4,"C4",91,1,0.057
4,"C4",93,1,0.057
4,"C4",94,8,0.456
4,"C4",96,3,0.171
4,"C4",98,1600,91.168
5,"C5",-1,3,0.341
5,"C5",1,5,0.568
5,"C5",11,1,0.114
5,"C5",13,1,0.114
5,"C5",14,1,0.114
5,"C5",16,1,0.114
5,"C5",25,1,0.114
5,"C5",26,1,0.114
5,"C5",32,1,0.114
5,"C5",35,1,0.114
5,"C5",36,3,0.341
5,"C5",41,9,1.022
5,"C5",43,6,0.681
5,"C5",45,1,0.114
5,"C5",46,5,0.568
5,"C5",47,17,1.93
5,"C5",52,24,2.724
5,"C5",55,1,0.114
5,"C5",56,17,1.93
5,"C5",61,1,0.114
5,"C5",62,1,0.114
5,"C5",68,1,0.114
5,"C5",69,5,0.568
5,"C5",71,1,0.114
5,"C5",72,1,0.114
5,"C5",73,1,0.114
5,"C5",74,6,0.681
5,"C5",77,1,0.114
5,"C5",79,1,0.114
5,"C5",82,1,0.114
5,"C5",84,20,2.27
5,"C5",85,9,1.022
5,"C5",88,3,0.341
5,"C5",91,1,0.114
5,"C5",93,12,1.362
5,"C5",94,9,1.022
5,"C5",95,1,0.114
5,"C5",96,3,0.341
