"cluster","cluster_label","cnae_section","cnae_section_label","n_users","pct_cluster","pct_global","support_ok"
0,"no_habitual","A","A Agricultura",13,0.591,0.055,FALSE
0,"no_habitual","B","B Extractivas",1,0.045,0.004,FALSE
0,"no_habitual","C","C Industria",34,1.547,0.145,TRUE
0,"no_habitual","D","D Energia",18,0.819,0.077,FALSE
0,"no_habitual","D","Desconocido",4,0.182,0.017,FALSE
0,"no_habitual","E","E Agua y residuos",16,0.728,0.068,FALSE
0,"no_habitual","F","F Construccion",30,1.365,0.128,TRUE
0,"no_habitual","G","G Comercio",105,4.777,0.447,TRUE
0,"no_habitual","H","H Transporte",238,10.828,1.013,TRUE
0,"no_habitual","I","I Hosteleria",24,1.092,0.102,TRUE
0,"no_habitual","J","J Informacion",14,0.637,0.06,FALSE
0,"no_habitual","K","K Finanzas",7,0.318,0.03,FALSE
0,"no_habitual","L","L Inmobiliarias",15,0.682,0.064,FALSE
0,"no_habitual","M","M Profesionales",24,1.092,0.102,TRUE
0,"no_habitual","N","N Administrativas",14,0.637,0.06,FALSE
0,"no_habitual","O","O Administracion",84,3.822,0.358,TRUE
0,"no_habitual","P","P Educacion",11,0.5,0.047,FALSE
0,"no_habitual","Q","Q Sanidad",9,0.409,0.038,FALSE
0,"no_habitual","R","R Arte y ocio",28,1.274,0.119,TRUE
0,"no_habitual","S","S Otros servicios",61,2.775,0.26,TRUE
0,"no_habitual","T","T Hogares",1447,65.833,6.159,TRUE
0,"no_habitual","U","U Organismos",1,0.045,0.004,FALSE
1,"C1","A","A Agricultura",1,0.114,0.004,FALSE
1,"C1","C","C Industria",51,5.809,0.217,TRUE
1,"C1","D","D Energia",1,0.114,0.004,FALSE
1,"C1","D","Desconocido",4,0.456,0.017,FALSE
1,"C1","E","E Agua y residuos",3,0.342,0.013,FALSE
1,"C1","F","F Construccion",49,5.581,0.209,TRUE
1,"C1","G","G Comercio",176,20.046,0.749,TRUE
1,"C1","H","H Transporte",57,6.492,0.243,TRUE
1,"C1","I","I Hosteleria",7,0.797,0.03,FALSE
1,"C1","J","J Informacion",12,1.367,0.051,FALSE
1,"C1","K","K Finanzas",11,1.253,0.047,FALSE
1,"C1","L","L Inmobiliarias",14,1.595,0.06,FALSE
1,"C1","M","M Profesionales",64,7.289,0.272,TRUE
1,"C1","N","N Administrativas",13,1.481,0.055,FALSE
1,"C1","O","O Administracion",24,2.733,0.102,TRUE
1,"C1","P","P Educacion",66,7.517,0.281,TRUE
1,"C1","Q","Q Sanidad",23,2.62,0.098,TRUE
1,"C1","R","R Arte y ocio",16,1.822,0.068,FALSE
1,"C1","S","S Otros servicios",77,8.77,0.328,TRUE
