"cluster","cluster_label","feature","standardized_difference","rank_abs","cluster_mean","global_mean"
0,"no_habitual","low_day_rate",2.577,1,0.768,0.126
0,"no_habitual","zero_day_rate",1.697,2,0.272,0.037
0,"no_habitual","monthly_entropy",-1.426,3,0.865,0.964
0,"no_habitual","cv_daily",1.325,4,2.521,0.718
0,"no_habitual","max_month_share",1.287,5,0.161,0.062
0,"no_habitual","seasonal_amplitude_norm",1.072,6,1.045,0.499
0,"no_habitual","corr_hdd",-0.774,7,0.016,0.193
0,"no_habitual","p1_kw",-0.658,8,2.811,4.001
1,"C1","peak_share",2.552,1,0.473,0.283
1,"C1","valley_share",-2.399,2,0.225,0.448
1,"C1","afternoon_kWh_share",1.538,3,0.393,0.279
1,"C1","ratio_weekend_weekday",-1.449,4,0.395,1.008
1,"C1","evening_kWh_share",-1.167,5,0.235,0.314
1,"C1","night_kWh_share",-1.067,6,0.089,0.17
1,"C1","p1_kw",1.021,7,5.848,4.001
1,"C1","morning_kWh_share",0.849,8,0.283,0.236
2,"C2","corr_cdd",0.593,1,0.021,-0.048
2,"C2","corr_hdd",-0.586,2,0.059,0.193
2,"C2","beta_hdd_norm",-0.436,3,0.008,0.035
2,"C2","seasonal_amplitude_norm",-0.431,4,0.279,0.499
2,"C2","valley_share",0.421,5,0.487,0.448
2,"C2","peak_share",-0.407,6,0.253,0.283
2,"C2","r2_joint",-0.362,7,0.051,0.098
2,"C2","beta_hdd",-0.349,8,0.028,0.275
3,"C3","night_kWh_share",-0.449,1,0.136,0.17
3,"C3","low_day_rate",-0.363,2,0.036,0.126
3,"C3","seasonal_amplitude_norm",-0.336,3,0.327,0.499
3,"C3","flat_share",0.336,4,0.284,0.269
3,"C3","monthly_entropy",0.316,5,0.986,0.964
3,"C3","corr_cdd",-0.314,6,-0.085,-0.048
3,"C3","valley_share",-0.294,7,0.421,0.448
3,"C3","max_month_share",-0.292,8,0.039,0.062
4,"C4","r2_joint",2.345,1,0.398,0.098
4,"C4","corr_hdd",1.834,2,0.612,0.193
4,"C4","beta_hdd_norm",1.756,3,0.142,0.035
4,"C4","beta_hdd",1.751,4,1.514,0.275
4,"C4","seasonal_amplitude_norm",1.183,5,1.102,0.499
4,"C4","corr_cdd",-0.873,6,-0.151,-0.048
4,"C4","beta_cdd",-0.497,7,-0.325,-0.06
4,"C4","p1_kw",0.449,8,4.812,4.001
5,"C5","monthly_entropy",-1.729,1,0.844,0.964
5,"C5","seasonal_amplitude_norm",1.52,2,1.274,0.499
5,"C5","max_month_share",1.237,3,0.157,0.062
5,"C5","low_day_rate",1.036,4,0.384,0.126
5,"C5","beta_hdd_norm",0.76,5,0.081,0.035
5,"C5","zero_day_rate",0.604,6,0.121,0.037
5,"C5","cv_daily",0.494,7,1.39,0.718
5,"C5","bridge_ratio",0.336,8,0.043,0.042
6,"C6","night_kWh_share",3.856,1,0.464,0.17
6,"C6","afternoon_kWh_share",-3.05,2,0.054,0.279
6,"C6","valley_share",2.807,3,0.708,0.448
6,"C6","flat_share",-2.383,4,0.162,0.269
6,"C6","mean_daily_kWh",2.352,5,28.618,6.452
6,"C6","median_daily_kWh",2.263,6,26.421,5.841
6,"C6","peak_share",-2.075,7,0.129,0.283
6,"C6","ratio_night_day",2.045,8,2.934,0.654
