hour,mean_kWh
0,0.46568114019897017
1,0.4244780083570632
2,0.3973466630938666
3,0.3829031525203444
4,0.3775332574356491
5,0.38455542351474015
6,0.41466395428405406
7,0.46706366088843093
8,0.5380302649787907
9,0.5906443517153207
10,0.6245016195729639
11,0.6336850126677701
12,0.6300003545595948
13,0.6243863762619305
14,0.6068136910481707
15,0.5714257058172184
16,0.5379666050706604
17,0.5196501224233523
18,0.5244491347910657
19,0.5669819763939689
20,0.6189684560356126
21,0.6389975743252239
22,0.5979588627520601
23,0.528562523163818
