"metrica","valor"
"Total registros horarios","953.112.614"
"Total usuarios","28.807"
"Rango temporal","2014-11-02 01:00:00 a 2024-02-01"
"Registros NULL","0"
"Registros negativos","1.351"
"Registros zero exacto","55.990.300"
"% zeros","5,87"
"Mediana cobertura por usuario (dias)","1.351"
"Mediana cobertura (%)","100,00"
"Usuarios con < 30 dias","313"
"Usuarios con gaps","2"
"Total gaps detectados","2"
"Max gap (dias)","29"
"Total dias-usuario","39.737.949"
"% dias completos (24h)","99,91"
"P95 consumo horario (kWh)","1,38"
"P99 consumo horario (kWh)","5,36"
"P99.9 consumo horario (kWh)","34,00"
"Lecturas > 100 kWh/h","198.595"
"Usuarios afectados por negativos/extremos","718"
"kWh horario afectado por negativos/extremos","35.107.226,63"
