"date","actual","point","q05_xgb","q95_xgb","conformal_lo","conformal_hi"
2023-07-01,89847.5750334101,89755.7568875955,88286.6272585573,94297.5198003598,84298.3737790812,95213.1399961099
2023-07-02,91649.7140461882,89022.5336128395,88376.8490014855,94278.7262873947,83565.1505043252,94479.9167213539
2023-07-03,94906.245540448,94737.9434674736,91095.2585161174,95487.455598455,89280.5603589593,100195.326575988
2023-07-04,96219.4445477838,95804.796493407,92592.8437081669,98552.0384272785,90347.4133848927,101262.179601921
2023-07-05,96057.6670319608,95319.0431803158,93289.3459772723,99349.9151963336,89861.6600718015,100776.42628883
2023-07-06,95369.4565467451,94760.3529415081,92468.065478484,99109.4509454891,89302.9698329937,100217.736050022
2023-07-07,93667.4930306209,92849.9006723911,91216.0964555235,98112.221370256,87392.5175638768,98307.2837809055
2023-07-08,89344.5450401121,92211.2741541979,90582.6598944096,95599.5311307608,86753.8910456835,97668.6572627123
2023-07-09,92548.7590317344,89267.2098764766,88708.5361827549,94235.6682012904,83809.8267679622,94724.5929849909
2023-07-10,95494.3890442635,94049.459773809,91130.102519263,94246.7229937377,88592.0766652946,99506.8428823234
2023-07-11,98925.8830357888,95587.5883747648,92834.9370095282,98631.4898749553,90130.2052662504,101044.971483279
2023-07-12,95866.9435457113,97689.0859906571,94356.6223744002,101003.140882868,92231.7028821428,103146.469099171
2023-07-13,95265.7460470533,94505.6675246302,92261.8537954986,99104.8196182148,89048.2844161158,99963.0506331446
2023-07-14,93715.9925368223,93904.2684766588,91722.5694209533,99159.3695927937,88446.8853681445,99361.6515851732
2023-07-15,92020.285051143,93043.4943632563,91661.2703501698,98307.973634112,87586.1112547419,98500.8774717706
2023-07-16,90355.0630492151,91281.798614845,89583.3556636819,94638.3397062395,85824.4155063306,96739.1817233594
2023-07-17,95277.4245456959,93460.9461119189,91010.4200356098,95466.1487922521,88003.5630034046,98918.3292204333
2023-07-18,97207.5065306453,96063.8990665763,92835.9109023729,99603.5957822173,90606.5159580619,101521.282175091
2023-07-19,97508.1525340393,95400.9831327538,93490.0969052669,99544.244506537,89943.6000242394,100858.366241268
2023-07-20,95817.1660535219,95515.5987952193,93895.5820392966,99201.3660972581,90058.2156867049,100972.981903734
2023-07-21,93504.8180468096,93298.8661039371,91609.6220783431,98777.7725696239,87841.4829954228,98756.2492124515
2023-07-22,88141.5705434935,91739.3660458575,90991.5874142855,96771.374407099,86281.9829373432,97196.7491543719
2023-07-23,88787.6595476174,88014.6676168415,86590.220095651,94707.5906981298,82557.2845083271,93472.0507253558
2023-07-24,93033.8580622112,91208.8764549019,88811.2153689173,94184.7250677548,85751.4933463875,96666.2595634163
2023-07-25,89576.7715611323,90626.7281384257,89400.2864019642,93422.0925258784,85169.3450299113,96084.11124694
2023-07-26,91179.7040591546,91134.1873522281,89217.421078907,94355.7225142809,85676.8042437137,96591.5704607425
2023-07-27,93096.6105346448,91238.6300114674,89374.8826181615,92849.1037301382,85781.246902953,96696.0131199817
2023-07-28,90685.6755347287,90917.7698957776,89062.9549285525,93787.0246230991,85460.3867872632,96375.1530042919
2023-07-29,88408.5050438789,89431.6674818067,88159.0758596444,93838.8265540375,83974.2843732923,94889.050590321
2023-07-30,87883.6390349322,88059.1661510012,87217.9440085316,93751.2541541006,82601.7830424868,93516.5492595156
2023-07-31,87439.040548987,88286.0378770265,88372.2977997009,93692.6201163623,82828.6547685122,93743.4209855409
2023-08-01,91963.9570394213,88238.0585829627,85646.5575697243,93120.1922583734,82780.6754744484,93695.4416914771
2023-08-02,93219.4980375671,91105.8580244949,89507.3513970789,93041.276036087,85648.4749159806,96563.2411330093
2023-08-03,91705.2680327002,93041.4535003142,91826.9857826366,95296.4107026538,87584.0703917998,98498.8366088286
2023-08-04,89214.8125431207,89761.577788872,88465.3911942735,93827.1037514757,84304.1946803576,95218.9608973864
2023-08-05,84414.0430603583,86433.3780679776,86433.2956377705,93366.958869636,80975.9949594632,91890.761176492
2023-08-06,84121.278557538,83808.8329830269,82956.6147462868,91143.6613929726,78351.4498745125,89266.2160915413
2023-08-07,85390.8610458213,85388.0233535167,81280.6454310516,92191.665512864,79930.6402450023,90845.406462031
2023-08-08,85289.039551644,86237.9922624112,82732.6279361435,92960.9195379857,80780.6091538968,91695.3753709256
2023-08-09,87922.7780501792,86289.2454438349,82819.1485710487,89586.0041661054,80831.8623353206,91746.6285523493
2023-08-10,88719.6495418337,86952.1786467761,85336.0033150716,90729.8970152975,81494.7955382617,92409.5617552905
2023-08-11,87544.0825339757,86285.4600584876,85527.3879339231,90867.5804611623,80828.0769499733,91742.843167002
2023-08-12,86707.926544739,83806.1954241199,83973.4047767696,90658.885555526,78348.8123156055,89263.5785326342
2023-08-13,86354.3460316206,85019.0342096647,83675.5404518955,90685.6921192227,79561.6511011503,90476.4173181791
2023-08-14,87433.4400503041,87240.1554869145,83986.3794247619,91845.0277970808,81782.7723784001,92697.5385954288
2023-08-15,86326.6455482877,86204.3610618042,83911.522476922,91200.1784180055,80746.9779532898,91661.7441703186
2023-08-16,89711.8540226911,88339.0137281466,84101.6373584987,92636.5646904584,82881.6306196323,93796.396836661
2023-08-17,89156.5385527509,89693.1204945686,87045.4363355432,92689.5874986666,84235.7373860543,95150.503603083
2023-08-18,89450.1805525685,89590.5324322672,85477.7285239255,93875.5257076738,84133.1493237528,95047.9155407815
2023-08-19,87966.5810528329,88128.3934600606,86578.0817125847,92456.0730455063,82671.0103515462,93585.7765685749
2023-08-20,89759.7700408526,87505.1319636745,86025.2433851294,92738.3952856716,82047.7488551601,92962.5150721888
2023-08-21,93167.1750471355,91346.589818961,89503.2541236989,93943.0538176344,85889.2067104466,96803.9729274754
2023-08-22,94162.3000377311,94097.0990878027,92058.8235847422,95674.8686828677,88639.7159792883,99554.4821963171
2023-08-23,97060.770533803,94810.0702869295,91954.3189941118,96038.2503956503,89352.6871784151,100267.453395444
2023-08-24,98318.4580463044,94806.3631852166,92605.9136773668,98666.2994268067,89348.9800767023,100263.746293731
2023-08-25,95480.7245364259,95590.4143883705,92627.7305050939,100120.158279599,90133.0312798561,101047.797496885
2023-08-26,91807.7870467452,91958.0899747487,90775.5951591818,97938.1522404368,86500.7068662343,97415.473083263
2023-08-27,92878.2860393303,91109.9417707322,89693.7192694206,94434.3126389684,85652.5586622178,96567.3248792465
2023-08-28,96187.7405516829,94050.7154913029,91437.7584631262,97586.0072809718,88593.3323827885,99508.0985998172
2023-08-29,96122.1990516545,96889.9464862595,93428.953108472,100980.121818166,91432.5633777451,102347.329594774
2023-08-30,95758.4595490899,97276.0317113585,93335.8881646926,101050.447559786,91818.6486028441,102733.414819873
2023-08-31,94239.0945299166,96428.4824487684,92415.3456599567,99855.0671650311,90971.099340254,101885.865557283
2023-09-01,94331.226541259,94264.9707314823,91561.0590708297,96869.6200890836,88807.587622968,99722.3538399967
2023-09-02,100691.990550666,95147.2073609502,91783.6468870851,97829.5858694339,89689.8242524358,100604.590469465
2023-09-03,97722.4395462078,97737.636769267,95985.5089469618,102299.837793349,92280.2536607526,103195.019877781
2023-09-04,100408.004547216,100202.402884412,95776.3854058302,101728.362638839,94745.0197758974,105659.785992926
2023-09-05,99901.4015427209,100923.030223485,97129.0087452679,103231.967950916,95465.6471149705,106380.413331999
2023-09-06,101310.872523731,100400.793388023,95667.2957622399,104556.780098641,94943.4102795086,105858.176496537
2023-09-07,102020.492536647,101555.916290902,97368.9394277822,105326.70128979,96098.5331823878,107013.299399417
2023-09-08,100123.007049519,100787.506941386,96350.805590068,104091.257377625,95330.1238328714,106244.8900499
2023-09-09,96620.7195372608,98314.6304462479,95711.4643710293,104345.699337076,92857.2473377335,103772.013554762
2023-09-10,99580.112525716,96434.2762490243,93999.782694654,102041.917702884,90976.8931405099,101891.659357539
2023-09-11,104988.48054867,102876.289258855,96595.9992088414,105597.656993835,97418.9061503408,108333.67236737
2023-09-12,103297.681537124,104796.268004775,100410.943465885,109109.222809856,99338.8848962607,110253.651113289
2023-09-13,102091.09653926,103716.395153603,99977.6082876682,109180.420070921,98259.0120450889,109173.778262118
2023-09-14,101020.325044241,102005.333555597,98198.341759476,106875.745023762,96547.9504470824,107462.716664111
2023-09-15,99441.5225568083,99087.3359457465,97346.6557675407,106383.663322707,93629.9528372322,104544.719054261
2023-09-16,97291.4755346251,98205.6467459988,94389.2030896461,106187.323830373,92748.2636374845,103663.029854513
2023-09-17,100359.508541206,99406.6857111584,95047.4452556323,104384.616084352,93949.3026026441,104864.068819673
2023-09-18,101472.853034786,103568.132300859,98375.9693268257,105932.432164044,98110.7491923444,109025.515409373
2023-09-19,100860.203043343,102741.670421353,98638.7330128659,105324.391003686,97284.287312839,108199.053529868
2023-09-20,100578.426546608,101974.694699464,98383.3813535631,105235.132245639,96517.3115909493,107432.077807978
2023-09-21,104203.786035966,100946.036273921,97105.0204357405,104189.481833367,95488.6531654065,106403.419382435
2023-09-22,99814.4550208176,102627.87718467,99008.6503693447,106232.296821439,97170.4940761559,108085.260293185
2023-09-23,95479.9845444837,98219.040632685,94442.778708464,103743.401813231,92761.6575241706,103676.423741199
2023-09-24,96652.0735320367,97295.1443336845,93588.5814451666,104027.942309712,91837.7612251702,102752.527442199
2023-09-25,99421.7915448414,98591.6151098576,95870.7865644654,105311.434251184,93134.2320013432,104048.998218372
2023-09-26,100109.330539095,101012.581179397,95177.4287131841,106135.081841659,95555.1980708831,106469.964287912
2023-09-27,100803.165045639,100870.780733271,96794.5418011344,106529.251215174,95413.3976247567,106328.163841785
2023-09-28,99653.1710402968,99649.0115177673,96888.2832572063,106159.276000835,94191.6284092529,105106.394626282
2023-09-29,97805.2590348672,98197.2179636249,94183.467561052,105694.480520188,92739.8348551106,103654.601072139
2023-09-30,95112.1545477846,95937.188063268,93830.056685881,104191.270396876,90479.8049547536,101394.571171782
2023-10-01,97857.8155563958,96826.3944815386,93390.2909520023,103330.366996385,91369.0113730242,102283.777590053
2023-10-02,103211.959059603,101792.899193453,96071.5950034913,106283.674408431,96335.516084939,107250.282301968
2023-10-03,104732.290536871,104624.408099213,99906.6952572353,108754.55461838,99167.0249906991,110081.791207728
2023-10-04,103229.415022215,104417.970622293,99713.4651722885,108879.709736311,98960.5875137787,109875.353730807
2023-10-05,101728.797541276,103025.035502689,100377.145772236,108466.084972103,97567.6523941747,108482.418611203
2023-10-06,99014.3720427753,99681.7084586933,97621.2857544706,106257.323824755,94224.3253501789,105139.091567208
2023-10-07,96576.8295350795,96797.0342416217,94332.9589081292,104881.753657979,91339.6511331074,102254.417350136
2023-10-08,98537.345536302,97413.893659779,94775.0846358549,104847.051076298,91956.5105512646,102871.276768293
2023-10-09,101624.245046279,102070.435189937,96806.9123221158,106676.86957661,96613.0520814224,107527.818298451
2023-10-10,100719.812537407,102378.893285717,99066.7375228089,106355.360774598,96921.5101772028,107836.276394231
2023-10-11,98499.4230580663,100401.080640269,97064.8370894866,106056.059035795,94943.6975317545,105858.463748783
2023-10-12,92797.1830333095,98554.576122492,94572.656791545,105682.990051389,93097.1930139777,104011.959231006
2023-10-13,93306.016534745,92683.399940914,90201.2875165589,98248.7384893531,87226.0168323997,98140.7830494284
2023-10-14,95810.0945332919,95213.4709172067,92340.3731209835,98993.355031281,89756.0878086923,100670.854025721
2023-10-15,100255.363536826,96779.6808030866,93333.5738555665,101943.481713415,91322.2976945722,102237.063911601
2023-10-16,102857.598043814,100973.669716446,98289.0370000362,105608.030296186,95516.2866079312,106431.05282496
2023-10-17,103124.552550177,104029.232044203,100582.021158496,108704.989009376,98571.8489356883,109486.615152717
2023-10-18,104263.446050828,104524.677097672,100255.644730447,108689.750571406,99067.2939891575,109982.060206186
2023-10-19,107407.438538495,105557.784659402,98908.3296211529,109774.912022557,100100.401550887,111015.167767916
2023-10-20,103583.987038836,104702.364186134,101601.447038872,109604.503652416,99244.9810776194,110159.747294648
2023-10-21,99271.9860282896,102456.251059788,98111.2856941245,109063.655967055,96998.867951274,107913.634168303
2023-10-22,103822.193556129,102161.881117651,95740.9518740611,106777.533890583,96704.4980091364,107619.264226165
2023-10-23,106315.109539095,106731.821134931,101286.250951858,110902.209838084,101274.438026417,112189.204243446
2023-10-24,107479.826035228,107691.803405145,103921.247391802,110108.858078601,102234.420296631,113149.18651366
2023-10-25,109709.252043854,107265.708624624,104434.602088953,110471.208798464,101808.325516109,112723.091733138
2023-10-26,111118.808537084,109010.934548084,104467.972599019,110654.150178151,103553.55143957,114468.317656598
2023-10-27,104688.720523941,107049.87373001,103899.049575743,111415.617072151,101592.490621496,112507.256838524
2023-10-28,102854.475030745,102100.810695502,98844.6791912657,109192.707337178,96643.4275869873,107558.193804016
2023-10-29,110731.772508463,106199.172973449,100477.423105564,109071.457158135,100741.789864935,111656.556081964
2023-10-30,106865.922033075,111011.73121772,105894.453200171,111219.748659275,105554.348109205,116469.114326234
2023-10-31,102822.613538051,106887.670985088,104756.29864364,109581.50991481,101430.287876573,112345.054093602
2023-11-01,110960.849039932,106872.78922204,101528.898115355,108657.725716895,101415.406113525,112330.172330554
2023-11-02,112187.108045331,110987.701331001,106427.602981349,111083.110529369,105530.318222487,116445.084439515
2023-11-03,115409.913034647,111163.228583325,108411.481200646,114765.267827773,105705.845474811,116620.61169184
2023-11-04,113299.461541603,110643.80882189,108071.448255396,115909.428727945,105186.425713376,116101.191930404
2023-11-05,114050.324524746,115029.344820138,109816.272547154,114570.721993218,109571.961711624,120486.727928653
2023-11-06,113940.736540513,115360.020676705,110791.211601876,116959.764459088,109902.637568191,120817.40378522
2023-11-07,118821.520019484,116978.839778013,110638.321964095,116860.645220352,111521.456669499,122436.222886528
2023-11-08,117532.20954817,118361.598948519,113107.268697019,123045.176124887,112904.215840004,123818.982057033
2023-11-09,115787.175021896,115346.929415303,114018.959962215,121538.136382036,109889.546306789,120804.312523818
2023-11-10,117128.273038118,113891.698945444,110522.633763953,117327.874985521,108434.315836929,119349.082053958
2023-11-11,116922.643019636,115918.493427884,111258.152038359,120746.288559869,110461.11031937,121375.876536399
2023-11-12,114036.807533131,116646.415966737,110655.416533094,121005.08530756,111189.032858223,122103.799075252
2023-11-13,110559.962518335,114064.747812444,110158.538513219,116079.011706117,108607.36470393,119522.130920958
2023-11-14,110248.92002349,111979.767899463,105323.888774282,114579.02636642,106522.384790948,117437.151007977
2023-11-15,109702.188034326,109839.944058213,106473.591610523,114199.716752738,104382.560949699,115297.327166727
2023-11-16,113242.347036768,110012.292219148,105775.554046313,113163.697968294,104554.909110634,115469.675327662
2023-11-17,107739.531530027,112662.970511472,109840.363068961,115538.606082973,107205.587402958,118120.353619986
2023-11-18,106335.221536805,107958.649981321,105177.841716787,113020.144560633,102501.266872807,113416.033089835
2023-11-19,110941.51204447,108639.178418585,105220.781601702,112628.378618348,103181.79531007,114096.561527099
2023-11-20,119388.28302447,115312.39321823,107671.46996055,115016.400773187,109855.010109715,120769.776326744
2023-11-21,123670.009040325,120780.724392076,113156.575322901,124089.029642534,115323.341283561,126238.10750059
2023-11-22,124675.76103277,124823.015540537,115981.081303303,124612.608735171,119365.632432023,130280.398649052
2023-11-23,122007.035024071,127825.913344613,122405.198411024,128106.114442587,122368.530236098,133283.296453127
2023-11-24,122035.017534095,119967.150617108,115682.269187845,126252.493741978,114509.767508593,125424.533725622
2023-11-25,121228.827029068,121765.413868029,115950.667780282,126736.361904458,116308.030759514,127222.796976543
2023-11-26,125549.781529882,124777.430987793,117168.646735203,127445.769643695,119320.047879278,130234.814096307
2023-11-27,135177.873546902,128984.723717351,121247.322075792,131128.579387487,123527.340608837,134442.106825866
2023-11-28,130765.372529762,129165.798955853,127067.968268215,138599.065643405,123708.415847339,134623.182064367
2023-11-29,124893.173539234,124148.214489276,122403.564122868,131672.191292214,118690.831380761,129605.59759779
2023-11-30,128916.992550228,124682.38781325,121821.050690011,128127.862987219,119225.004704736,130139.770921765
2023-12-01,123910.483026173,129356.627154732,122786.934306424,131622.348112085,123899.244046218,134814.010263247
2023-12-02,127544.882032112,126009.630511505,119605.130925476,128199.61047953,120552.247402991,131467.01362002
2023-12-03,129619.040529016,131303.272305717,123960.931988875,132876.514172914,125845.889197203,136760.655414231
2023-12-04,129936.667030619,130174.273276722,123457.397429596,132154.520734707,124716.890168208,135631.656385236
2023-12-05,131168.875526384,131386.571022242,125189.247108641,132834.575852721,125929.187913728,136843.954130756
2023-12-06,125379.297039134,130566.540005734,127458.167603203,134989.240696699,125109.15689722,136023.923114249
2023-12-07,128763.380541164,126281.394180686,124170.712131759,130681.521557502,120824.011072171,131738.7772892
2023-12-08,120603.853028596,125485.327500794,123267.395135426,131537.520013458,120027.94439228,130942.710609309
2023-12-09,116157.078532835,117673.013714993,116947.830022963,125336.661985647,112215.630606478,123130.396823507
2023-12-10,122131.458514416,114825.809442681,110433.919597343,120237.578248127,109368.426334167,120283.192551195
2023-12-11,121536.506034094,120511.028956398,113405.485934587,125550.207080679,115053.645847883,125968.412064912
2023-12-12,127228.351034318,119884.803300349,116811.72981072,129936.752912578,114427.420191834,125342.186408863
2023-12-13,130980.575524451,130917.157099579,121191.369387296,131939.682695467,125459.773991065,136374.540208094
2023-12-14,131102.059553828,129700.779167286,125151.167260557,134083.923773403,124243.396058772,135158.1622758
2023-12-15,125281.444029624,126510.42294022,125618.714162372,133496.230834416,121053.039831705,131967.806048734
2023-12-16,123152.631548711,126519.110088491,123211.685282192,130160.245668512,121061.726979976,131976.493197005
2023-12-17,132379.869045973,127323.920590397,121218.186461465,128361.219868867,121866.537481883,132781.303698912
2023-12-18,139397.862068007,137260.252599361,127991.812038531,141582.686867033,131802.869490846,142717.635707875
2023-12-19,144055.600022787,141603.212112971,134244.116821362,142597.914658412,136145.829004456,147060.595221485
2023-12-20,141465.724545813,139928.649669907,135184.933491891,146519.878133811,134471.266561392,145386.032778421
2023-12-21,137195.435529948,137795.506743538,132825.835090798,144242.917462814,132338.123635023,143252.889852052
2023-12-22,133572.216536687,132606.111758165,127817.258365296,139631.24521272,127148.72864965,138063.494866679
2023-12-23,133280.357516231,131493.997832014,127301.701478611,138930.703160183,126036.6147235,136951.380940529
2023-12-24,126764.055016307,135590.747478721,128450.369480119,140751.090942553,130133.364370206,141048.130587235
2023-12-25,120234.580027565,127419.640639684,126890.559995764,133567.545088682,121962.25753117,132877.023748199
2023-12-26,133496.162545796,128292.440649354,120261.890415859,129984.470216704,122835.05754084,133749.823757869
2023-12-27,130726.16803621,134607.690340269,128396.602897045,139494.952158429,129150.307231755,140065.073448784
2023-12-28,130468.01954402,129169.001755086,124909.231316762,134026.393112418,123711.618646572,134626.384863601
2023-12-29,126897.467530363,127882.611853957,123879.623780289,133795.368816057,122425.228745443,133339.994962471
2023-12-30,121750.213018886,125935.505517969,123557.398406257,129808.68454721,120478.122409455,131392.888626483
2023-12-31,126124.641039777,123810.057818153,118575.472592685,127442.123414527,118352.674709639,129267.440926668
