"Feature","Gain","Cover","Frequency"
"roll28_sd",0.288805237490947,0.0459040653863342,0.0386057074064954
"lag1",0.254255598819933,0.111393975776733,0.0775123806396892
"lag2",0.167301161297995,0.0427074019132019,0.0370461572136037
"roll7",0.164002921734376,0.0357311136100178,0.025089605734767
"roll7_sd",0.0567114759130696,0.0603795717403369,0.0624093682453692
"roll28",0.0397935960688695,0.0181612578397061,0.014528441270623
"roll14",0.0153699042490193,0.0136091894904452,0.0137076253796273
"cos_doy",0.00590888879172256,0.0239712290032347,0.0290021614818463
"yoy_diff",0.00404144847189563,0.0994251243723206,0.094147582697201
"lag7",0.00171370102739266,0.0371736865916127,0.038496265287696
"sin_doy",0.000568005715119909,0.0350656383722678,0.0372924019809023
"cdd_lag1",0.00045086123148927,0.0177315703551134,0.0147746860379217
"lag14",0.000322020797817064,0.0351477578272817,0.0354045254316124
"cdd_mean",0.000147471068060656,0.0113455797290374,0.0156228624586172
"doy",0.000107305219452603,0.0256526662593563,0.0344742674218173
"lag365",9.28310607987993e-05,0.101235223329814,0.0677993925962407
"lag28",8.77575286300225e-05,0.0331936145615701,0.0378943336342992
"cos_doy2",8.65567472155249e-05,0.0200532395967233,0.0179758680128047
"is_summer",6.35577889282576e-05,0.000276886923245919,0.00147746860379217
"hdd_mean",4.63284707961302e-05,0.0353574345913808,0.0519302853703248
"sin_doy2",2.29945104146847e-05,0.0360487052775358,0.0390161153519932
"sin_dow",2.09869070440753e-05,0.0123046655446567,0.0216421789925853
"tmed_mean",1.43748518928948e-05,0.0269967905571304,0.031136282798435
"dow",1.26430182989565e-05,0.0090512836390988,0.0267038769870585
"is_monday",1.1782333159128e-05,0.00732290971080305,0.00752414566746012
"hdd_roll7",9.2459442972542e-06,0.0365318769028581,0.0353224438425128
"hdd_lag1",8.6802714737002e-06,0.031700397305125,0.0396454075350899
"is_weekend",6.68005621560633e-06,0.00463576550754122,0.0085091247366549
"month",5.32247429934909e-06,0.00116639602481885,0.00552682699937071
"any_holiday",4.85213734103375e-06,0.00809693093327853,0.0049248953459739
"cdd_roll7",3.7696554219162e-06,0.0158994624370546,0.0163615967605133
"cos_dow",1.39035469396936e-06,0.00403213623783246,0.0125858436619333
"is_friday",4.96755056025731e-07,0.00251706779114837,0.00454184793017593
"is_winter",1.51236862610136e-07,0.000179384861384963,0.00136802648499275
