"model","n","MAE","RMSE","MAPE","sMAPE","WAPE","EUR_dev","MASE"
"xgb",208,2119.292,2924.492,1.893,1.886,1.954,41877.215,0.543
"ensemble_top3",208,2282.852,3180.262,2.041,2.037,2.104,45109.162,0.585
"lgbm",208,2480.612,3390.433,2.21,2.215,2.287,49016.887,0.636
"rf",208,2530.456,3513.914,2.251,2.242,2.333,50001.81,0.649
"stack",208,2597.976,3408.676,2.367,2.343,2.395,51336.011,0.666
"arimax",208,5821.367,7271.489,5.529,5.359,5.366,115030.22,1.492
"snaive365",208,8098.613,10437.942,7.547,7.233,7.465,160028.589,2.076
"snaive7",208,15847.023,21752.396,13.07,14.628,14.608,313137.173,4.063
"ets",208,16087.267,22014.58,13.257,14.863,14.83,317884.392,4.124
"naive",208,17422.147,23376.312,14.389,16.267,16.06,344261.618,4.466
