"date","kWh_total","n_users","hdd_mean","cdd_mean","tmed_mean","any_holiday","coverage_ref_n_users","coverage_pct","coverage_ok","terminal_invalid","retained_for_forecast","coverage_rule"
2015-12-31,6.33400002121925,1,9.4,0,5.6,0,NA,NA,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-01,3.6039999909699,1,8.4,0,6.6,1,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-02,4.4239999987185,1,8.5,0,6.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-03,3.73600003123283,1,6.4,0,8.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-04,6.48499995097518,1,7.2,0,7.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-05,4.15500006079674,1,10.2,0,4.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-06,5.30999998003244,1,7.5,0,7.5,1,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-07,6.55399993807077,1,1.8,0,13.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-08,4.24800001457334,1,2,0,13,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-09,7.85000000149012,1,4.2,0,10.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-10,5.51600004732609,1,4.2,0,10.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-11,7.73300001397729,1,6.1,0,8.9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-12,4.84499999508262,1,9.7,0,5.3,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-13,6.04099994152784,1,12.6,0,2.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-14,7.85000003874302,1,7.5,0,7.5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-15,5.08900000527501,1,11.4,0,3.6,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-16,6.80400005728006,1,12,0,3,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-17,4.25200002267957,1,12.6,0,2.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-18,2.82700000889599,1,9.6,0,5.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-19,2.7700000051409,1,10.7,0,4.3,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-20,2.80800003558397,1,9.8,0,5.2,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-21,2.16000001132488,1,10,0,5,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-22,3.19399999640882,1,7.6,0,7.4,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-23,3.26900001242757,1,4.2,0,10.8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-24,3.94400002248585,1,7,0,8,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
2016-01-25,2.29700002074242,1,6,0,9,0,1,100,TRUE,FALSE,TRUE,"n_users >= 85.0% de la mediana movil previa de 29 dias"
