"phase","type","artifact","elapsed_s","status","log_file"
"00","R","R/00_extract/00_extract_raw.R",81.3,"OK","outputs/logs/run_00_extract_raw.R.txt"
"01","R","R/01_ingest/01_csv_to_parquet.R",134,"OK","outputs/logs/run_01_csv_to_parquet.R.txt"
"02","R","R/02_quality/02_data_quality.R",71.1,"OK","outputs/logs/run_02_data_quality.R.txt"
"03","R","R/03_climate/03a_build_climate_dataset.R",370,"OK","outputs/logs/run_03a_build_climate_dataset.R.txt"
"03","R","R/03_climate/03b_augment_climate.R",1,"OK","outputs/logs/run_03b_augment_climate.R.txt"
"03","R","R/03_climate/03c_impute_climate.R",6.5,"OK","outputs/logs/run_03c_impute_climate.R.txt"
"03","R","R/03_climate/03d_merge_climate.R",27.9,"OK","outputs/logs/run_03d_merge_climate.R.txt"
"04","R","R/04_features/04a_legacy_features.R",27,"OK","outputs/logs/run_04a_legacy_features.R.txt"
"04","R","R/04_features/04b_climate_sensitivity.R",69.1,"OK","outputs/logs/run_04b_climate_sensitivity.R.txt"
"05","R","R/05_clustering/05a_pool.R",1.1,"OK","outputs/logs/run_05a_pool.R.txt"
"05","R","R/05_clustering/05b_matrix.R",1.9,"OK","outputs/logs/run_05b_matrix.R.txt"
"05","R","R/05_clustering/05c_models.R",237.2,"OK","outputs/logs/run_05c_models.R.txt"
"05","R","R/05_clustering/05d_validation.R",78,"OK","outputs/logs/run_05d_validation.R.txt"
"05","R","R/05_clustering/05e_selection.R",1.3,"OK","outputs/logs/run_05e_selection.R.txt"
"05","R","R/05_clustering/05f_interpretation.R",3,"OK","outputs/logs/run_05f_interpretation.R.txt"
"05","R","R/05_clustering/05g_socioeconomic.R",1.2,"OK","outputs/logs/run_05g_socioeconomic.R.txt"
"05","R","R/05_clustering/05h_business_segments.R",0.8,"OK","outputs/logs/run_05h_business_segments.R.txt"
"06","R","R/06_forecasting/06a_targets.R",147.8,"OK","outputs/logs/run_06a_targets.R.txt"
"06","R","R/06_forecasting/06b_features_temporal.R",3.3,"OK","outputs/logs/run_06b_features_temporal.R.txt"
"06","R","R/06_forecasting/06c_models_daily.R",28.6,"OK","outputs/logs/run_06c_models_daily.R.txt"
"06","R","R/06_forecasting/06d_models_hourly.R",129.5,"OK","outputs/logs/run_06d_models_hourly.R.txt"
"06","R","R/06_forecasting/06e_models_cluster.R",10.5,"OK","outputs/logs/run_06e_models_cluster.R.txt"
"06","R","R/06_forecasting/06f_evaluation.R",0.9,"OK","outputs/logs/run_06f_evaluation.R.txt"
"07","R","R/07_benchmark/07_benchmark.R",282,"OK","outputs/logs/run_07_benchmark.R.txt"
"08","R","R/08_dashboard/08a_prepare_dashboard_tables.R",5.8,"OK","outputs/logs/run_08a_prepare_dashboard_tables.R.txt"
"01","QMD","qmd/01_eda.qmd",63.5,"OK","outputs/logs/render_01_eda.txt"
"02","QMD","qmd/02_data_quality.qmd",22.2,"OK","outputs/logs/render_02_data_quality.txt"
"03","QMD","qmd/03_climate_integration.qmd",13.8,"OK","outputs/logs/render_03_climate_integration.txt"
"04","QMD","qmd/04_clustering.qmd",17,"OK","outputs/logs/render_04_clustering.txt"
"05","QMD","qmd/05_forecasting.qmd",13.1,"OK","outputs/logs/render_05_forecasting.txt"
"06","QMD","qmd/06_benchmark.qmd",11.3,"OK","outputs/logs/render_06_benchmark.txt"
"07","QMD","qmd/07_etica_privacidad.qmd",10.3,"OK","outputs/logs/render_07_etica_privacidad.txt"
